Alloc. A/C CD,Alloc. A/C name,Alloc. basis type,Alloc. basis type name,Coefficient CD,Coefficient name,Cost element CD,Cost element name,Indirectly alloc. A/C CD,Indirectly alloc. A/C name,Rounding type,Rounding type name,Rounding digit,Alloc. adjustment type,Alloc. adjustment type,Asset type,Asset type name,Non-minus,Coefficient limit,Std. alloc.,Notes,Entry time,Entry user CD,Entry user name,Update time,Update user CD,Update user name
8001001,P.P.vari.TG.,0,Time alloc.,COEFF01,Coefficient 01,P0011,Trading Goods cost,,,,,9,1,Adjust the difference(max. target amount),,,FALSE,FALSE,FALSE,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8109900,Research and development expenses,0,Time alloc.,COEFF01,Coefficient 01,P0036,Line expense,,,,,9,1,Adjust the difference(max. target amount),,,FALSE,FALSE,FALSE,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8109900OT,Research and development expenses,0,Time alloc.,COEFF01,Coefficient 01,P0065,Other Indirect exp.,,,,,9,1,Adjust the difference(max. target amount),,,FALSE,FALSE,FALSE,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8109900PL,Research and development expenses,0,Time alloc.,COEFF01,Coefficient 01,P0079,Planning expense,,,,,9,1,Adjust the difference(max. target amount),,,FALSE,FALSE,FALSE,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8109900TE,Research and development expenses,0,Time alloc.,COEFF01,Coefficient 01,P0076,Technical expense,,,,,9,1,Adjust the difference(max. target amount),,,FALSE,FALSE,FALSE,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8109900WS,Research and development expenses,0,Time alloc.,COEFF01,Coefficient 01,P0038,WS expense,,,,,9,1,Adjust the difference(max. target amount),,,FALSE,FALSE,FALSE,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8120001,[M]Salaries and wages,0,Time alloc.,COEFF01,Coefficient 01,P0020,Line labor cost,,,,,9,1,Adjust the difference(max. target amount),,,FALSE,FALSE,FALSE,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8120001OT,[M]Salaries and wages,0,Time alloc.,COEFF01,Coefficient 01,P0050,Other Indirect Labor,,,,,9,1,Adjust the difference(max. target amount),,,FALSE,FALSE,FALSE,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8120001PL,[M]Salaries and wages,0,Time alloc.,COEFF01,Coefficient 01,P0077,Planning labor cost,,,,,9,1,Adjust the difference(max. target amount),,,FALSE,FALSE,FALSE,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
8120001TE,[M]Salaries and wages,0,Time alloc.,COEFF01,Coefficient 01,P0074,Technical labor cost,,,,,9,1,Adjust the difference(max. target amount),,,FALSE,FALSE,FALSE,,27/09/2024 11:52,T0001adm2,B-en-g,27/09/2024 11:52,T0001adm2,B-en-g
